date,value,val2,val3
2009/9/6,1330.9,1330.9,1330.9
2009/9/7,1437.3,1437.3,1437.3
2009/9/8,1540.8,1540.8,1540.8
2009/9/9,1610.4,1610.4,1610.4
2009/9/10,1676.5,1676.5,1676.5
2009/9/11,1767.2,1767.2,1767.2
2009/9/12,1844.5,1844.5,1844.5
2009/9/13,1933,1933,1933
2009/9/14,2018.2,2018.2,2018.2
2009/9/15,2082.8,2082.8,2082.8
2009/9/16,2140,2140,2140
2009/9/17,2245.1,2245.1,2245.1
2009/9/18,2368.4,2368.4,2368.4
2009/9/19,2491.1,2491.1,2491.1
2009/9/20,1937.5,1937.5,1937.5
2009/9/21,12.5,12.5,12.5
2009/9/22,200.5,200.5,200.5
2009/9/23,890.4,890.4,890.4
2009/9/24,1172.6,1172.6,1172.6
2009/9/25,1417.7,1417.7,1417.7
2009/9/26,1771.1,1771.1,1771.1
2009/9/27,2157.7,2157.7,2157.7
2009/9/28,2533.8,2533.8,2533.8
2009/9/29,2813.7,2813.7,2813.7
2009/9/30,2995,2995,2995
2009/10/1,3152.3,3152.3,3152.3
2009/10/2,3316.9,3316.9,3316.9
2009/10/3,3472.1,3472.1,3472.1
2009/10/4,3624,3624,3624
2009/10/5,3738.2,3738.2,3738.2
2009/10/6,3823.7,3823.7,3823.7
2009/10/7,3909.6,3909.6,3909.6
2009/10/8,3940.4,3940.4,3940.4
2009/10/9,3982,3982,3982
2009/10/10,3998,3998,3998
2009/10/11,4031.2,4031.2,4031.2
2009/10/12,4122.6,4122.6,4122.6
2009/10/13,4192,4192,4192
2009/10/14,4197.8,4197.8,4197.8
2009/10/15,4248.9,4248.9,4248.9
2009/10/16,4275.1,4275.1,4275.1
2009/10/17,4302.7,4302.7,4302.7
2009/10/18,4329.4,4329.4,4329.4
2009/10/19,4278.6,4278.6,4278.6
2009/10/20,4258.8,4258.8,4258.8
2009/10/21,4282.2,4282.2,4282.2
2009/10/22,4323.5,4323.5,4323.5
2009/10/23,4363.8,4363.8,4363.8
2009/10/24,4408.8,4408.8,4408.8
2009/10/25,4436.9,4436.9,4436.9
2009/10/26,4453.4,4453.4,4453.4
2009/10/27,4502.9,4502.9,4502.9
2009/10/28,4562.8,4562.8,4562.8
