time;origin_data;trans_data;residual
2017-12-08;15551.3;8353.429237922135;7197.870762077864
2017-12-09;15688.9;8356.158619339145;7332.741380660855
2017-12-10;15776.1;8358.888000756157;7417.211999243844
2017-12-11;15870.6;8361.617382173166;7508.982617826834
2017-12-12;15950.8;8364.346763590178;7586.453236409821
2017-12-13;15997.0;8367.07614500719;7629.92385499281
2017-12-14;16029.2;8369.8055264242;7659.394473575801
2017-12-15;16069.1;8372.534907841211;7696.565092158789
2017-12-16;16089.6;8375.26428925822;7714.33571074178
2017-12-17;16156.7;8377.993670675232;7778.706329324768
2017-12-18;16216.5;8380.723052092244;7835.776947907756
2017-12-19;16252.3;8383.452433509254;7868.8475664907455
2017-12-20;16313.0;8386.181814926265;7926.818185073735
2017-12-21;16392.4;8388.911196343275;8003.488803656726
2017-12-22;16467.7;8391.640577760287;8076.059422239714
2017-12-23;16526.0;8394.369959177297;8131.630040822703
2017-12-24;16547.0;8397.099340594308;8149.900659405692
2017-12-25;16626.9;8399.828722011318;8227.071277988684
2017-12-26;16665.1;8402.55810342833;8262.541896571669
2017-12-27;16712.3;8405.28748484534;8307.01251515466
2017-12-28;16746.8;8408.016866262351;8338.783133737648
2017-12-29;16761.4;8410.74624767936;8350.65375232064
2017-12-30;16790.2;8413.475629096372;8376.724370903628
2017-12-31;16860.4;8416.205010513382;8444.19498948662
2018-01-01;16901.1;8418.934391930394;8482.165608069605
2018-01-02;16907.0;8421.663773347404;8485.336226652596
2018-01-03;16913.9;8424.393154764415;8489.506845235586
2018-01-04;16967.1;8427.122536181425;8539.977463818574
2018-01-05;16972.3;8429.851917598437;8542.448082401563
2018-01-06;17009.0;8432.581299015446;8576.418700984554
2018-01-07;17012.0;8435.310680432458;8576.689319567542
2018-01-08;17011.3;8438.04006184947;8573.25993815053
2018-01-09;17057.1;8440.76944326648;8616.33055673352
2018-01-10;17078.1;8443.498824683491;8634.601175316508
2018-01-11;17106.3;8446.2282061005;8660.071793899499
2018-01-12;17135.1;8448.957587517512;8686.142412482486
2018-01-13;17169.9;8451.686968934524;8718.213031065477
2018-01-14;17208.0;8454.416350351534;8753.583649648466
2018-01-15;17241.1;8457.145731768545;8783.954268231453
2018-01-16;17268.8;8459.875113185555;8808.924886814444
2018-01-17;17303.8;8462.604494602567;8841.195505397432
2018-01-18;17307.3;8465.333876019578;8841.96612398042
2018-01-19;17320.5;8468.063257436588;8852.436742563412
2018-01-20;17377.1;8470.7926388536;8906.307361146399
2018-01-21;17425.6;8473.52202027061;8952.077979729389
2018-01-22;17468.9;8476.251401687621;8992.64859831238
2018-01-23;17488.3;8478.980783104631;9009.319216895368
2018-01-24;17484.4;8481.710164521643;9002.689835478359
2018-01-25;17452.8;8484.439545938652;8968.360454061347
2018-01-26;17437.3;8487.168927355664;8950.131072644335
2018-01-27;17456.0;8489.898308772674;8966.101691227326
2018-01-28;17438.5;8492.627690189685;8945.872309810315
2018-01-29;17421.4;8495.357071606695;8926.042928393306
2018-01-30;17429.7;8498.086453023707;8931.613546976294
2018-01-31;17413.3;8500.815834440717;8912.484165559283
2018-02-01;17439.6;8503.545215857728;8936.05478414227
2018-02-02;17415.8;8506.274597274738;8909.525402725261
2018-02-03;17446.9;8509.00397869175;8937.896021308252
2018-02-04;17461.9;8511.73336010876;8950.166639891242
2018-02-05;17467.0;8514.462741525771;8952.537258474229
2018-02-06;17496.6;8517.19212294278;8979.407877057218
2018-02-07;17501.1;8519.921504359792;8981.178495640206
2018-02-08;17537.9;8522.650885776802;9015.2491142232
2018-02-09;17562.2;8525.380267193814;9036.819732806187
2018-02-10;17551.8;8528.109648610825;9023.690351389174
